"comment","id","location","location2","sticker","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname"
"Roll Player","169426","","","","","","","110658629","723.864","744.763","24.292","260","31147","thing","Roll Player","1","4","90","90","60","2016","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rolling Dice","334543","","","","","","","110495424","551.768","615.769","1","17566","114","thing","Rolling Dice","2","6","30","30","30","2021","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Root","237182","","","","","","","110661066","788.564","807.488","38.031","31","79032","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rose Ceremony","300090","","","","","","","110491662","552.421","610.071","1","16074","274","thing","Rose Ceremony","3","6","15","15","15","2020","3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rummikub","811","","","","","","","110959601","629.621","647.427","17.228","1696","40129","thing","Rummikub","2","4","60","60","60","1977","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur","9220","","","","","","","110491745","642.244","654.569","13.199","1391","57243","thing","Saboteur","3","10","30","30","30","2016","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2016","AMIGO German edition 2016"
"Saboteur 2 (expansion-only editions)","91072","","","","","","","110497648","647.097","693.855","15.225","0","16419","thing","Saboteur 2 (expansion-only editions)","2","12","45","45","45","2011","4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Saboteur: The Dark Cave","365702","","","","","","","110496845","554.251","641.922","16.667","12755","692","thing","Saboteur: The Dark Cave","2","8","45","45","45","2022","4,5,6,7,8","6,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur: The Duel","168215","","","","","","","110491692","572.219","600.962","12.586","5338","6992","thing","Saboteur: The Duel","1","2","30","30","30","2014","1,2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Safranito","66849","","","","","","","110595650","608.375","689.275","17.303","2495","1810","thing","Safranito","2","4","45","45","30","2010","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada","199561","","","","","","","110491023","733.353","747.648","19.166","205","67603","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Same Game","396542","","","","","","","118544427","570.465","714.859","1","5643","529","thing","The Same Game","3","6","45","45","30","2023","3,4,5,6","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"San Francisco","357271","","","","","","","110495676","578.753","671.257","2.2","4491","1434","thing","San Francisco","2","4","60","60","45","2022","2,3,2004","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sanssouci","146816","","","","","","","110655144","626.904","712.308","21.081","1785","3497","thing","Sanssouci","2","4","45","45","30","2013","2,3,2004","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini","194655","","","","","","","110656222","722.415","736.209","17.273","272","61172","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Die Säulen der Erde","309109","","","","","","","110745574","559.953","709.318","2.5","0","593","thing","Die Säulen der Erde","2","6","150","150","90","2008","2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Schnappt Hubi!","92644","","","","","","","110654720","575.377","688.803","1.303","4874","1047","thing","Schnappt Hubi!","2","4","20","20","20","2011","2,3,2004","3,4","4+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Schnattergei","354124","","","","","","","110492154","0","5.8","1","0","72","thing","Schnattergei","2","4","15","15","15","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Der schwarze Pirat","23890","","","","","","","110488154","575.827","652.123","11.296","4826","1112","thing","Der schwarze Pirat","2","4","15","15","15","2006","2,3,2004","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Schwingenschlag","410201","","","","","","","115988123","712.028","809.533","27.534","348","10092","thing","Wyrmspan","1","5","90","90","90","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele  Stonemaier Games","German","2024","German edition"
"Scotland Yard","438","","","","","","","116302858","635.021","650.595","19.509","1557","29164","thing","Scotland Yard","2","6","45","45","45","1983","2,3,4,5,6","2,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scotland Yard: Sherlock Holmes Edition","369007","","","","","","","110494708","559.352","713.502","21.667","8741","485","thing","Scotland Yard: Sherlock Holmes Edition","2","6","60","60","45","2022","2,3,2004","2,3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scotland Yard: The Hunt for Mister X","94837","","","","","","","110745610","554.424","587.574","14.444","12534","1553","thing","Scotland Yard: The Hunt for Mister X","2","4","20","20","10","2011","2,3,2004","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SCOUT","291453","","","","","","","110745599","750.645","781.119","13.449","116","28258","thing","SCOUT","2","5","15","15","15","2019","3,4,2005","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble Original","320","","","","","","","111195879","614.836","626.889","20.621","2223","62923","thing","Scrabble","2","4","90","90","90","1989","2,3,2004","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Jumbo  Spear's Games","German","1989","Spear's German edition 1989"
"Scythe","169786","","","","","","","110495106","799.308","814.517","34.456","17","113665","thing","Scythe","1","5","115","115","90","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper","367220","","","","","","","110493493","705.529","747.398","1.439","408","18670","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,2004","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper: Extra Salt","396545","","","","","","","112281550","619.021","785.611","11.667","0","5195","thing","Sea Salt & Paper: Extra Salt","2","4","45","45","30","2023","2,3,2004","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","MM-Spiele","German","2023","German edition"
"Seastead","307656","","","","","","","110656930","571.978","677.648","27.692","5384","1231","thing","Seastead","1","2","30","30","30","2020","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sebastian Fitzek Killercruise","319107","","","","","","","110655251","566.041","673.564","25.294","6494","830","thing","Sebastian Fitzek Killercruise","2","4","30","30","30","2020","2,3,2004","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Hitler","188834","","","","","","","110657068","726.727","75.095","17.378","244","41512","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,1","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Identity","347112","","","","","","","110662390","597.628","728.708","11.429","3019","1349","thing","Secret Identity","3","8","40","40","20","2022","4,5,6,7,8","6,7,2008","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Die Seidenstraße","564","","","","","","","111242758","549.682","549.894","17.778","22648","228","thing","Die Seidenstraße","2","7","60","60","60","1998","4,5,6,7","6","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","1998","German edition"
"Sequence","2375","","","","","","","113833042","593.026","611.993","13.154","3319","23897","thing","Sequence","2","12","30","30","10","1982","2,3,4,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Set!","1198","","","","","","","111573190","629.247","650.058","16.589","1707","23090","thing","SET","1","20","30","30","30","2005","1,2,3,4,5,6,7,8","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2005","Ravensburger German edition 2005"
"Sheriff of Nottingham: 2nd Edition","298638","","","","","","","110494051","64.389","728.056","1.75","1347","7215","thing","Sheriff of Nottingham: 2nd Edition","3","6","60","60","60","2020","4,5,2006","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Beratender Detektiv: Die Themse-Morde & andere Fälle","2511","","","","","","","110662800","74.036","763.237","26.637","160","41442","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","2020","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Space Cowboys","German","2020","German edition"
"Sherlock: Die Fälschung","325679","","","","","","","111377049","559.018","709.715","1","8906","357","thing","Sherlock: La copia","1","8","60","60","60","2021","2,3","3","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2021","German edition"
"Sherlock: The Tomb of the Archaeologist","247436","","","","","","","110488368","588.954","66.343","15.714","3602","2129","thing","Sherlock: The Tomb of the Archaeologist","1","8","60","60","40","2018","2,3,2004","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shinkansen: Zero-Kei","339614","","","","","","","110495663","597.973","705.089","26.842","3000","2040","thing","Shinkansen: Zero-Kei","1","4","60","60","60","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Die Siedler von Catan: Das Kartenspiel","278","","","","","","","110488440","650.217","670.554","24.396","1205","25258","thing","Catan Card Game","2","2","120","120","60","2007","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2007","German edition 2007"
"Die Siedler von Catan: Das Würfelspiel ""plus""","38845","","","","","","","111375629","554.189","580.458","1.375","0","848","thing","Les Colons de Catane: Le jeu de dés","2","4","30","30","30","2008","2,3,2004","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","KOSMOS","German","2008","German edition"
"The Siege of Runedar","333539","","","","","","","110489586","604.639","706.668","23.429","2649","2286","thing","The Siege of Runedar","1","4","90","90","60","2021","1,2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Similo: Tiere","268620","","","","","","","112387966","644.832","68.164","10.407","1324","16158","thing","Similo","2","8","15","15","10","2020","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Horrible Guild","German","2020","German edition"
"Simply Ingenious","36745","","","","","","","110489412","543.992","528.617","11.562","25985","1372","thing","Simply Ingenious","2","4","20","20","20","2008","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skip-Bo","1269","","","","","","","110488602","549.628","559.037","12.027","22772","21589","thing","Skip-Bo","2","6","20","20","20","1967","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","","","","","","","110493470","702.095","719.146","11.206","437","37276","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Team","373106","","","","","","","117809201","748.528","8.195","20.238","126","14211","thing","Sky Team","2","2","15","15","15","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Hachette Boardgames USA  Scorpion Masqué","English","2023","English edition, first printing"
"Skyjo","204135","","","","","","","112726773","623.619","672.227","10.636","1889","8856","thing","Skyjo","2","8","45","45","15","2022","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Magilano","Danish  Dutch  English  Finnish  French  German  Greek  Italian  Norwegian  Polish  Portuguese  Spanish  Swedish","2022","Multilingual edition 2022"
"Small World of Warcraft","309630","","","","","","","110496720","656.733","730.918","26.386","1073","10853","thing","Small World of Warcraft","2","5","80","80","40","2020","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smart10","241590","","","","","","","110494353","663.542","749.432","11.587","966","5856","thing","Smart10","2","8","120","120","20","2017","2,3,4,5,6","3,4","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Snow Time","256438","","","","","","","111377026","567.863","648.534","12.308","6105","1320","thing","Snow Time","3","5","40","40","20","2018","3,4,2005","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee","German","2018","German edition"
"So Clover!","329839","","","","","","","110494081","714.174","758.367","11.077","323","13300","thing","So Clover!","3","6","30","30","30","2021","2,3,4,5,6","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Solaris","219359","","","","","","","110489613","550.355","561.553","30.769","21251","302","thing","Solaris","3","5","60","60","60","2017","2,3,2004","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SOS Titanic","143157","","","","","","","110657382","607.111","674.546","1.631","2547","3189","thing","SOS Titanic","1","5","30","30","30","2013","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Soulmates","365188","","","","","","","110495247","0","579.412","0","0","44","thing","Soulmates","2","5","30","30","30","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base","242302","","","","","","","110494069","731.898","754.737","21.243","212","26602","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Cadets","123096","","","","","","","112387994","614.209","654.717","27.399","2249","6078","thing","Space Cadets","3","6","120","120","60","2014","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Asmodee  Stronghold Games","German","2014","German edition"
"Sparta","109105","","","","","","","110489504","549.191","546.803","1.6","23465","474","thing","Sparta","2","2","30","30","30","2011","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spicy","299169","","","","","","","110493239","662.362","716.257","13.481","983","9840","thing","Spicy","2","6","20","20","15","2020","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spiel des Lebens","2921","","","","","","","111872949","436.098","434.464","11.631","26447","22048","thing","The Game of Life","2","6","60","60","60","2008","2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","MB Spiele","German","2008","MB German edition 2008"
"Spinderella","171129","","","","","","","110495867","590.392","646.714","11.875","3493","3185","thing","Spinderella","2","4","20","20","20","2015","2,3,2004","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","","","","","","","110494087","814.544","834.573","40.656","11","77472","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","","","","","","","110495295","729.883","74.212","17.806","222","118937","thing","Splendor","2","4","30","30","30","2014","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splito","359878","","","","","","","116926244","586.243","671.782","12.105","3810","1591","thing","Splito","3","8","20","20","15","2022","3,4,5,6,7,8","6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","","","","","","","111779565","663.825","677.405","12.373","956","29370","thing","Spyfall","3","8","15","15","15","2020","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Tower Tactic Games","English  Thai","2020","Thai/English edition"
"Stack'n Stuff: A Patchwork Game","362693","","","","","","","110657922","558.962","706.425","1.5","8936","494","thing","Stack'n Stuff: A Patchwork Game","2","2","30","30","20","2022","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stadt - Land - Fluss","12043","","","","","","","118175645","548.741","531.777","11.667","24050","210","thing","Stadt - Land - Fluss","2","10","15","15","15","0","3,4,5,6","4,5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stadt Land Vollpfosten: Classic Edition","250463","","","","","","","114973273","552.979","585.392","11.111","14874","464","thing","Stadt Land Vollpfosten: Classic Edition","2","10","0","0","0","2016","2,3,2004","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stadt Land Vollpfosten: Das Kartenspiel – Classic Edition","364425","","","","","","","118188308","552.633","616.485","1.25","15602","228","thing","Stadt Land Vollpfosten: Das Kartenspiel – Classic Edition","3","6","30","30","30","2019","3,4,5,6","4,5","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Outer Rim","271896","","","","","","","110491183","73.355","773.371","25.536","203","23310","thing","Star Wars: Outer Rim","1","4","180","180","120","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: The Deckbuilding Game","374173","","","","","","","110495705","725.705","792.092","20.339","247","14710","thing","Star Wars: The Deckbuilding Game","2","2","30","30","30","2023","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Steampunk Rally","162007","","","","","","","112831746","674.397","715.933","2.621","788","9899","thing","Steampunk Rally","2","8","60","60","45","2017","2,3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Roxley","English","2017","English third edition"
"Stone Age","34635","","","","","","","110663497","740.181","752.594","24.596","163","57521","thing","Stone Age","2","4","90","90","60","2008","2,3,2004","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stop the Robots","346008","","","","","","","110495696","0","50.875","0","0","28","thing","Stop the Robots","1","6","10","10","10","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego","1917","","","","","","","117947361","599.188","613.418","18.462","2928","29459","thing","Stratego","2","2","45","45","45","1980","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Jumbo","German","1980","Jumbo German edition 1980"
"Stratego Original","1917","","","","","","","112388101","599.188","613.418","18.462","2928","29459","thing","Stratego","2","2","45","45","45","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Jumbo","French  German  Italian","1999","Jumbo multilingual edition 1999"
"Summoner Wars: Master Set","93260","","","","","","","110491193","712.871","748.277","25.245","336","13444","thing","Summoner Wars: Master Set","2","4","60","60","30","2011","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Superclub: The football manager board game","294047","","","","","","","114172741","578.058","774.851","22.308","4573","863","thing","Superclub: The football manager board game","2","4","240","240","90","2020","3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","","","","","","","116255386","724.103","739.548","1.302","257","63699","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Swindler","367992","","","","","","","110496178","562.197","645.601","18.571","7543","718","thing","Swindler","2","4","60","60","45","2022","2,3,2004","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","","","","","","","111375455","719.061","738.335","25.864","289","41405","thing","T.I.M.E Stories","2","4","90","90","90","2016","2,3,2004","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Space Cowboys","German","2016","German second edition"
"Taboo","1111","","","","","","","110495579","612.845","629.902","12.022","2315","24446","thing","Taboo","4","10","20","20","20","1989","4,5,6,7,8,9,10","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Taboo Junior","8998","","","","","","","110654779","54.914","533.552","1","23538","386","thing","Taboo Junior","4","0","30","30","30","2001","","","6–12","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Taco Cat Goat Cheese Pizza","253664","","","","","","","110493513","619.419","659.343","10.142","2039","15929","thing","Taco Cat Goat Cheese Pizza","2","8","30","30","10","2018","3,4,5,6,7,8","4,5,2006","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Take 5!","153","","","","","","","110492184","605.598","655.267","14.615","2618","4987","thing","Take 5!","2","6","60","60","60","1998","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Take it Easy!","128","","","","","","","110661856","615.228","661.017","14.798","2204","4641","thing","Take it Easy!","1","8","20","20","20","2005","1,2,3,4,5,6,7,8","2,3,4,5,6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2005","Ravensburger Classics German edition"
"Take It to the Limit!","25294","","","","","","","110595665","571.805","681.549","20.488","5414","470","thing","Take It to the Limit!","1","6","45","45","45","2006","3,4,5,6","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of Glory","246816","","","","","","","110595677","601.889","719.626","19.231","2789","1680","thing","Tales of Glory","2","5","45","45","30","2018","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Targi","118048","","","","","","","110745594","742.486","761.401","23.372","149","38240","thing","Targi","2","2","60","60","60","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tavern's Tales","199689","","","","","","","112788835","550.496","575.263","2","20924","210","thing","Tavern's Tales","2","4","60","60","30","2016","2,3","2,3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Tailor Games","English","2016","English edition"
"Team Work Original","14042","","","","","","","116131368","558.394","614.497","13.043","9263","918","thing","Team Work Original","4","16","20","20","20","2004","5,6,7,8,9,10,11,12,13,14,15,16","7,8,9,10","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"TEAM3 PINK","247694","","","","","","","110489417","593.288","689.889","10.714","3302","1750","thing","TEAM3 PINK","3","6","30","30","30","2019","3,4,5,6","3,6","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tempel des Schreckens","206915","","","","","","","112243443","64.327","719.417","11.493","1370","4980","thing","Tempel des Schreckens","3","10","15","15","15","2016","4,5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2016","German edition"
"TEN","335609","","","","","","","110493637","638.746","705.944","14.688","1471","5942","thing","TEN","1","5","30","30","15","2021","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terra","153507","","","","","","","110489567","617.384","679.941","14.923","2117","3263","thing","Terra","2","6","45","45","45","2014","2,3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terra Mystica","120677","","","","","","","110495884","78.974","806.206","39.727","28","52061","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","","","","","","","110685400","821.369","836.009","32.603","7","137517","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Not a Hat","375651","","","","","","","110656592","637.447","714.675","10.189","1500","5556","thing","That's Not a Hat","3","8","15","15","15","2023","4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Pretty Clever!","244522","","","","","","","110655288","738.231","757.301","18.676","177","39506","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Therapy","4355","","","","","","","113419864","544.518","535.436","14.107","25917","1735","thing","Therapy","3","6","90","90","90","1994","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Hasbro  Milton Bradley","German","1994","German edition 1994"
"Through the Ages: A Story of Civilization","25613","","","","","","","110745565","759.404","784.457","41.764","86","18146","thing","Through the Ages: A Story of Civilization","2","4","120","120","120","2006","2,3,2004","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Thurn and Taxis","21790","","","","","","","110586994","691.921","709.144","22.585","557","22960","thing","Thurn and Taxis","2","4","60","60","60","2006","2,3,2004","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tichu","215","","","","","","","110488399","729.315","757.843","23.406","225","24527","thing","Tichu","4","4","60","60","60","1991","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Amsterdam","309113","","","","","","","111555638","60.669","696.131","15.185","2570","4696","thing","Ticket to Ride: Amsterdam","2","4","15","15","10","2020","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","","","","","","","110495149","740.442","752.905","19.179","159","117988","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: New York","253284","","","","","","","110656786","655.352","691.232","12.566","1106","15637","thing","Ticket to Ride: New York","2","4","15","15","10","2021","2,3,2004","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","Dutch","2021","Dutch edition 2021"
"Tikal","54","","","","","","","110496033","712.636","732.749","27.806","338","27219","thing","Tikal","2","4","90","90","90","1999","2,3,2004","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Time Arena","229599","","","","","","","111377003","562.077","669.549","2.1","7580","552","thing","Time Arena","2","4","10","10","3","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","BLAM !","English  French","2017","English/French edition"
"Time's Up! Edición Amarilla","38713","","","","","","","110494036","635.848","753.643","10.816","1536","3331","thing","Time's Up! Edición Amarilla","4","12","30","30","30","2008","4,6,7,8,9,10,12","6,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Timeline: Events","113401","","","","","","","110656472","637.675","677.199","10.884","1495","9905","thing","Timeline: Events","2","8","15","15","15","2011","2,3,4,5,6,7,8","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Timeline: Inventions","85256","","","","","","","110656482","642.967","669.349","10.938","1379","15093","thing","Timeline: Inventions","2","8","15","15","15","2010","2,3,4,5,6,7,8","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
